locus_chr	locus_start	locus_end	locus_width	locus_name	locus_ngene	locus_pheno	gene_locusdist_kbp	gene_name	gene_type	gene_tss	gene_end
01	66525663	66779047	253.384	rs10789207	2	HR	7.604	SGIP1	protein_coding	66533267	66751139
01	66525663	66779047	253.384	rs10789207	2	HR	226.796	DYNLT5	protein_coding	66752459	66779047
09	96249786	96655317	405.531	rs10820614	6	HR	16.389	HABP4	protein_coding	96450201	96491336
09	96249786	96655317	405.531	rs10820614	6	HR	47.871	ZNF367	protein_coding	96385941	96418370
09	96249786	96655317	405.531	rs10820614	6	HR	69.275	SLC35D2	protein_coding	96364537	96383711
09	96249786	96655317	405.531	rs10820614	6	HR	184.026	HSD17B3	protein_coding	96249786	96302176
09	96249786	96655317	405.531	rs10820614	6	HR	186.018	CDC14B	protein_coding	96619830	96619843
09	96249786	96655317	405.531	rs10820614	6	HR	220.936	PRXL2C	protein_coding	96654748	96655317
12	20319268	20688583	369.315	rs10841486	1	HR	49.269	PDE3A	protein_coding	20368537	20688583
12	114670255	114943935	273.68	rs10850409+rs1896312+rs7132327	1	PR+QRS	238.364	TBX3	protein_coding	114670255	114684175
18	44680173	45068510	388.337	rs10853525+rs991014	1	QRS	176.514	SETBP1	protein_coding	44680173	45068510
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	HR+JT+PR+QRS+QT	16.941	SCN5A	protein_coding	38633349	38649687
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	HR+JT+PR+QRS+QT	18.358	SCN10A	protein_coding	38696802	38816286
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	HR+JT+PR+QRS+QT	22.131	EXOG	protein_coding	38496127	38542161
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	23.08	DLEC1	protein_coding	38039205	38124025
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	HR+JT+PR+QRS+QT	30.434	XYLB	protein_coding	38346760	38421348
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QRS+QT	34.032	SLC22A14	protein_coding	38282294	38318575
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	50.514	SLC22A13	protein_coding	38265812	38278757
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	53.95	PLCD1	protein_coding	38008335	38029642
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	60.798	ACAA1	protein_coding	38123083	38137242
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	HR+JT+PR+QRS+QT	64.368	ACVR2B	protein_coding	38453890	38493142
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	74.226	VILL	protein_coding	37988059	38007188
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	76.193	MYD88	protein_coding	38138478	38143022
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	102.804	OXSR1	protein_coding	38165089	38255484
03	37861960	38816286	954.326	rs10865879+rs116202356+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs2070492+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	14	JT+QT	200.325	CTDSPL	protein_coding	37861960	37984469
12	37536300	38329721	793.421	rs10880689	1	HR	780.474	ALG10B	protein_coding	38316774	38329721
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	QT	4.485	ATP1B1	protein_coding	169105697	169310992
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	13.036	SLC19A2	protein_coding	169463909	169485944
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	33.866	F5	protein_coding	169586481	169586588
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	49.471	CCDC181	protein_coding	169427474	169460669
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	QT	58.888	NME7	protein_coding	169190710	169367948
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	66.604	SELP	protein_coding	169619219	169630193
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	108.975	BLZF1	protein_coding	169367970	169396540
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	109.392	C1orf112	protein_coding	169662007	169854080
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	159.005	SELL	protein_coding	169711620	169711702
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	181.044	SELE	protein_coding	169733659	169764705
01	169101212	169854080	752.868	rs10919070+rs12061601+rs12079745+rs1983546+rs6018+rs6027+rs6033	11	JT+QT	242.074	METTL18	protein_coding	169794689	169794963
02	200810594	201361836	551.242	rs1106399	10	JT	40.177	ORC2	protein_coding	200963660	200963680
02	200810594	201361836	551.242	rs1106399	10	JT	67.596	NDUFB3	protein_coding	201071433	201085750
02	200810594	201361836	551.242	rs1106399	10	JT	67.832	FAM126B	protein_coding	201071669	201071671
02	200810594	201361836	551.242	rs1106399	10	JT	112.317	CFLAR	protein_coding	201116154	201176687
02	200810594	201361836	551.242	rs1106399	10	JT	114.51	NIF3L1	protein_coding	200889327	200903938
02	200810594	201361836	551.242	rs1106399	10	JT	114.76	PPIL3	protein_coding	200889077	200889303
02	200810594	201361836	551.242	rs1106399	10	JT	139.179	CLK1	protein_coding	200864658	200864691
02	200810594	201361836	551.242	rs1106399	10	JT	179.035	CASP10	protein_coding	201182872	201229428
02	200810594	201361836	551.242	rs1106399	10	JT	193.243	BZW1	protein_coding	200810594	200827338
02	200810594	201361836	551.242	rs1106399	10	JT	229.606	CASP8	protein_coding	201233443	201361836
12	115790690	116277693	487.003	rs11067773	1	PR	167.215	MED13L	protein_coding	115957905	116277693
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	4.642	ATP2A2	protein_coding	110280756	110351093
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	28.265	TCTN1	protein_coding	110614027	110663431
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	45.072	TCHP	protein_coding	109900264	109983841
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	47.125	HVCN1	protein_coding	110689417	110704950
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	50.959	GIT2	protein_coding	109996295	109996389
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	53.85	ANKRD13A	protein_coding	109999186	110039763
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	94.391	GLTP	protein_coding	109850945	109880541
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	100.599	PPP1CC	protein_coding	110742891	110742939
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	103.219	C12orf76	protein_coding	110048555	110073636
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	109.047	PPTC7	protein_coding	110533245	110583318
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	118.31	ANAPC7	protein_coding	110403708	110403730
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	130.445	TRPV4	protein_coding	109814891	109833406
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	140.637	RAD9B	protein_coding	110501655	110533556
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	151.209	VPS29	protein_coding	110491083	110502111
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	161.063	IFT81	protein_coding	110124335	110218793
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	164.939	ARPC3	protein_coding	110450337	110450422
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	173.877	FAM216A	protein_coding	110468415	110490385
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	174.035	GPN3	protein_coding	110468257	110469268
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	204.477	CCDC63	protein_coding	110846769	110907535
12	109713825	110907535	1193.71	rs11068997+rs3026445+rs75714509	20	QT	231.511	FAM222A	protein_coding	109713825	109770495
17	55264960	55511444	246.484	rs11079159	3	QRS	31.229	HLF	protein_coding	55264960	55325187
17	55264960	55511444	246.484	rs11079159	3	QRS	125.646	MMD	protein_coding	55421835	55421924
17	55264960	55511444	246.484	rs11079159	3	QRS	152.244	SMIM36	protein_coding	55448433	55511444
18	32185069	32773023	587.954	rs11081761	3	HR	136.264	GAREM1	protein_coding	32287095	32470882
18	32185069	32773023	587.954	rs11081761	3	HR	238.29	MEP1B	protein_coding	32185069	32220404
18	32185069	32773023	587.954	rs11081761	3	HR	249.314	KLHL14	protein_coding	32672673	32773023
18	27990331	28186254	195.923	rs11083258	1	HR	195.923	CDH2	protein_coding	27990331	28177946
11	12009082	12535356	526.274	rs112421686	3	HR	139.929	PARVA	protein_coding	12377563	12535356
11	12009082	12535356	526.274	rs112421686	3	HR	143.626	MICAL2	protein_coding	12094008	12359144
11	12009082	12535356	526.274	rs112421686	3	HR	228.552	DKK3	protein_coding	12009082	12009769
01	154924740	155331114	406.374	rs11264339	30	PR	4.605	KRTCAP2	protein_coding	155172777	155173475
01	154924740	155331114	406.374	rs11264339	30	PR	5.615	TRIM46	protein_coding	155173787	155184971
01	154924740	155331114	406.374	rs11264339	30	PR	24.743	MUC1	protein_coding	155192915	155192916
01	154924740	155331114	406.374	rs11264339	30	PR	27.765	DPM3	protein_coding	155140407	155140595
01	154924740	155331114	406.374	rs11264339	30	PR	28.27	THBS3	protein_coding	155196442	155209051
01	154924740	155331114	406.374	rs11264339	30	PR	32.828	SLC50A1	protein_coding	155135344	155138857
01	154924740	155331114	406.374	rs11264339	30	PR	40.296	EFNA1	protein_coding	155127876	155134899
01	154924740	155331114	406.374	rs11264339	30	PR	40.523	MTX1	protein_coding	155208695	155213824
01	154924740	155331114	406.374	rs11264339	30	PR	50.752	GBAP1	transcribed_unprocessed_pseudogene	155218924	155227574
01	154924740	155331114	406.374	rs11264339	30	PR	73.077	GBA	protein_coding	155241249	155244699
01	154924740	155331114	406.374	rs11264339	30	PR	86.788	FAM189B	protein_coding	155254960	155255483
01	154924740	155331114	406.374	rs11264339	30	PR	89.335	EFNA3	protein_coding	155078837	155087538
01	154924740	155331114	406.374	rs11264339	30	PR	90.743	SCAMP3	protein_coding	155258915	155262430
01	154924740	155331114	406.374	rs11264339	30	PR	104.435	EFNA4	protein_coding	155063737	155069553
01	154924740	155331114	406.374	rs11264339	30	PR	105.115	CLK2	protein_coding	155273287	155278491
01	154924740	155331114	406.374	rs11264339	30	PR	109.291	HCN3	protein_coding	155277463	155289848
01	154924740	155331114	406.374	rs11264339	30	PR	117.606	ADAM15	protein_coding	155050566	155062775
01	154924740	155331114	406.374	rs11264339	30	PR	121.121	PKLR	protein_coding	155289293	155301438
01	154924740	155331114	406.374	rs11264339	30	PR	134.348	DCST1	protein_coding	155033824	155050930
01	154924740	155331114	406.374	rs11264339	30	PR	140.576	FDPS	protein_coding	155308748	155320666
01	154924740	155331114	406.374	rs11264339	30	PR	149.652	DCST2	protein_coding	155018520	155033781
01	154924740	155331114	406.374	rs11264339	30	PR	152.722	RUSC1	protein_coding	155320894	155331114
01	154924740	155331114	406.374	rs11264339	30	PR	165.542	ZBTB7B	protein_coding	155002630	155018523
01	154924740	155331114	406.374	rs11264339	30	PR	174.586	LENEP	protein_coding	154993586	154994315
01	154924740	155331114	406.374	rs11264339	30	PR	184.834	FLAD1	protein_coding	154983338	154993111
01	154924740	155331114	406.374	rs11264339	30	PR	193.519	CKS1B	protein_coding	154974653	154979251
01	154924740	155331114	406.374	rs11264339	30	PR	197.431	SHC1	protein_coding	154970741	154974395
01	154924740	155331114	406.374	rs11264339	30	PR	206.39	PYGO2	protein_coding	154961782	154963853
01	154924740	155331114	406.374	rs11264339	30	PR	212.051	PBXIP1	protein_coding	154956121	154956123
01	154924740	155331114	406.374	rs11264339	30	PR	243.432	PMVK	protein_coding	154924740	154936719
01	217426992	217871696	444.704	rs11454451	2	HR	81.775	SPATA17	protein_coding	217631324	217871696
01	217426992	217871696	444.704	rs11454451	2	HR	122.557	GPATCH2	protein_coding	217426992	217631090
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	0.643	IL25	protein_coding	23372809	23376403
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	3.321	CMTM5	protein_coding	23376773	23379772
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	7.819	EFS	protein_coding	23365633	23365752
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	10.66	MYH6	protein_coding	23384112	23408273
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	17.145	MYH7	protein_coding	23412740	23435660
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	20.592	SLC22A17	protein_coding	23352860	23352912
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	51.995	PABPN1	protein_coding	23321457	23326163
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	66.619	BCL2L2-PABPN1	protein_coding	23306833	23326175
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	74.094	NGDN	protein_coding	23469689	23509862
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	74.662	BCL2L2	protein_coding	23298790	23311751
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	77.8	PPP1R3E	protein_coding	23295652	23302859
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	87.32	HOMEZ	protein_coding	23286132	23299447
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	156.17	ZFHX2	protein_coding	23551765	23556192
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	160.393	THTPA	protein_coding	23555988	23560271
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	163.97	AP1G2	protein_coding	23559565	23568070
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	183.19	JPH4	protein_coding	23578785	23578790
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	188.136	RNF212B	protein_coding	23185316	23273477
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR+PR	218.143	SLC7A8	protein_coding	23155309	23183674
14	23155309	23645639	490.33	rs11465506+rs422068	19	HR	234.52	DHRS2	protein_coding	23630115	23645639
07	127252941	127431924	178.983	rs11563648	2	HR	43.573	ZNF800	protein_coding	127373565	127431924
07	127252941	127431924	178.983	rs11563648	2	HR	77.051	GRM8	protein_coding	127252941	127253093
21	28781917	29054488	272.571	rs11700980	4	QRS	103.45	N6AMT1	protein_coding	28885367	28885371
21	28781917	29054488	272.571	rs11700980	4	QRS	210.96	LTN1	protein_coding	28992877	28992956
21	28781917	29054488	272.571	rs11700980	4	QRS	237.432	RWDD2B	protein_coding	29019349	29019360
21	28781917	29054488	272.571	rs11700980	4	QRS	242.712	USP16	protein_coding	29024629	29054488
01	156242184	156736960	494.776	rs1171563	20	HR	3.307	MEF2D	protein_coding	156483430	156500779
01	156242184	156736960	494.776	rs1171563	20	HR	85.828	IQGAP3	protein_coding	156572565	156572604
01	156242184	156736960	494.776	rs1171563	20	HR	92.986	TTC24	protein_coding	156579723	156587719
01	156242184	156736960	494.776	rs1171563	20	HR	105.019	NAXE	protein_coding	156591756	156609507
01	156242184	156736960	494.776	rs1171563	20	HR	114.742	GPATCH4	protein_coding	156601479	156601496
01	156242184	156736960	494.776	rs1171563	20	HR	117.526	RHBG	protein_coding	156369211	156385219
01	156242184	156736960	494.776	rs1171563	20	HR	132.594	HAPLN2	protein_coding	156619331	156625725
01	156242184	156736960	494.776	rs1171563	20	HR	148.445	CCT3	protein_coding	156338292	156367873
01	156242184	156736960	494.776	rs1171563	20	HR	149.423	TSACC	protein_coding	156337314	156346995
01	156242184	156736960	494.776	rs1171563	20	HR	154.653	BCAN	protein_coding	156641390	156659532
01	156242184	156736960	494.776	rs1171563	20	HR	182.026	NES	protein_coding	156668763	156677407
01	156242184	156736960	494.776	rs1171563	20	HR	188.113	VHLL	protein_coding	156298624	156299307
